,Mean,Std
ABL_LSTM_Gated_Mod (0-10mm)_Bias,-0.2974318708649947,0.08759151339125881
ABL_LSTM_Gated_Heavy (>10mm)_Bias,-0.011043187075691952,1.1718055518170734
ABL_LSTM_Gated_Overall_NSE,0.9860402512149877,0.003560575280705395
ABL_LSTM_Gated_No Rain (0mm)_NSE,,
ABL_LSTM_Gated_Mod (0-10mm)_NSE,0.8840703118976858,0.02908901011661066
ABL_LSTM_Gated_Heavy (>10mm)_NSE,0.9685120660693565,0.00984157875528367
ABL_LSTM_Gated_Overall_Samples,2491.0,0.0
ABL_LSTM_Gated_No Rain (0mm)_Samples,1495.0,0.0
ABL_LSTM_Gated_Mod (0-10mm)_Samples,639.0,0.0
ABL_LSTM_Gated_Heavy (>10mm)_Samples,357.0,0.0
ABL_LSTM_Direct_Overall_R2,0.9860603960575866,0.003567646164149749
ABL_LSTM_Direct_No Rain (0mm)_R2,,
ABL_LSTM_Direct_Mod (0-10mm)_R2,0.8862923397688659,0.028378108493314628
ABL_LSTM_Direct_Heavy (>10mm)_R2,0.9685155523067298,0.009838756443752601
ABL_LSTM_Direct_Overall_MAE,0.43971386551856995,0.033471208065748215
ABL_LSTM_Direct_No Rain (0mm)_MAE,0.05095093324780464,0.013437003828585148
ABL_LSTM_Direct_Mod (0-10mm)_MAE,0.5279977917671204,0.08624210953712463
ABL_LSTM_Direct_Heavy (>10mm)_MAE,1.9097057580947876,0.28947192430496216
ABL_LSTM_Direct_Overall_MSE,2.4757585525512695,0.6336356401443481
ABL_LSTM_Direct_No Rain (0mm)_MSE,0.22399930655956268,0.13579675555229187
ABL_LSTM_Direct_Mod (0-10mm)_MSE,0.9220219850540161,0.23010973632335663
ABL_LSTM_Direct_Heavy (>10mm)_MSE,14.686452865600586,4.589454174041748
ABL_LSTM_Direct_Overall_RMSE,1.5630009174346924,0.20244412124156952
ABL_LSTM_Direct_No Rain (0mm)_RMSE,0.4490772783756256,0.16706633567810059
ABL_LSTM_Direct_Mod (0-10mm)_RMSE,0.9543946981430054,0.11807116121053696
ABL_LSTM_Direct_Heavy (>10mm)_RMSE,3.792724132537842,0.6141015887260437
ABL_LSTM_Direct_Overall_MAPE,24.965698719024658,1.8551393969604428
ABL_LSTM_Direct_No Rain (0mm)_MAPE,,
ABL_LSTM_Direct_Mod (0-10mm)_MAPE,35.566229820251465,3.0204970668458597
ABL_LSTM_Direct_Heavy (>10mm)_MAPE,5.991635695099831,0.4810537173260234
ABL_LSTM_Direct_Overall_Bias,-0.043429531157016754,0.14316560328006744
ABL_LSTM_Direct_No Rain (0mm)_Bias,0.05095093324780464,0.013437003828585148
ABL_LSTM_Direct_Mod (0-10mm)_Bias,-0.2823951244354248,0.08692871779203415
ABL_LSTM_Direct_Heavy (>10mm)_Bias,-0.010935897007584572,1.1718946695327759
ABL_LSTM_Direct_Overall_NSE,0.9860603960230947,0.0035676463179772832
ABL_LSTM_Direct_No Rain (0mm)_NSE,,
ABL_LSTM_Direct_Mod (0-10mm)_NSE,0.8862923443317413,0.028378106156170917
ABL_LSTM_Direct_Heavy (>10mm)_NSE,0.9685155507177114,0.009838755958459837
ABL_LSTM_Direct_Overall_Samples,2491.0,0.0
ABL_LSTM_Direct_No Rain (0mm)_Samples,1495.0,0.0
ABL_LSTM_Direct_Mod (0-10mm)_Samples,639.0,0.0
ABL_LSTM_Direct_Heavy (>10mm)_Samples,357.0,0.0
ABL_LGBM_Gated_Overall_R2,0.9423532566872801,0.004402296124797443
ABL_LGBM_Gated_No Rain (0mm)_R2,,
ABL_LGBM_Gated_Mod (0-10mm)_R2,0.8726172691783288,0.0075900412856917355
ABL_LGBM_Gated_Heavy (>10mm)_R2,0.8509493098535437,0.011609101771962973
ABL_LGBM_Gated_Overall_MAE,0.5914574470543732,0.04335683386821929
ABL_LGBM_Gated_No Rain (0mm)_MAE,0.018268788469747256,0.0014978912572395388
ABL_LGBM_Gated_Mod (0-10mm)_MAE,0.4370263997912627,0.05456315437966591
ABL_LGBM_Gated_Heavy (>10mm)_MAE,3.2682039002340466,0.21385441275265002
ABL_LGBM_Gated_Overall_MSE,10.238413188185184,0.7818746404790798
ABL_LGBM_Gated_No Rain (0mm)_MSE,0.015145147532716091,0.001970252616332237
ABL_LGBM_Gated_Mod (0-10mm)_MSE,1.0329091346323034,0.061545414560177876
ABL_LGBM_Gated_Heavy (>10mm)_MSE,69.52721658033009,5.415261964968188
ABL_LGBM_Gated_Overall_RMSE,3.1979096273234093,0.12138370801633651
ABL_LGBM_Gated_No Rain (0mm)_RMSE,0.12284768108086933,0.008184954624882968
ABL_LGBM_Gated_Mod (0-10mm)_RMSE,1.0159602516127446,0.03028823565495873
ABL_LGBM_Gated_Heavy (>10mm)_RMSE,8.333302005947397,0.32267293426002647
ABL_LGBM_Gated_Overall_MAPE,17.50270004311129,2.1051002370951655
ABL_LGBM_Gated_No Rain (0mm)_MAPE,,
ABL_LGBM_Gated_Mod (0-10mm)_MAPE,21.999672791962148,2.7394586378246895
ABL_LGBM_Gated_Heavy (>10mm)_MAPE,9.453496719537899,0.9825363924159859
ABL_LGBM_Gated_Overall_Bias,-0.33219414696401717,0.06785755557251003
ABL_LGBM_Gated_No Rain (0mm)_Bias,0.018268788469747256,0.0014978912572395388
ABL_LGBM_Gated_Mod (0-10mm)_Bias,-0.28924365808067054,0.030930399593832425
ABL_LGBM_Gated_Heavy (>10mm)_Bias,-1.8766968104652393,0.4458970959934172
ABL_LGBM_Gated_Overall_NSE,0.9423532552727524,0.004402296232820394
ABL_LGBM_Gated_No Rain (0mm)_NSE,,
ABL_LGBM_Gated_Mod (0-10mm)_NSE,0.8726172726189629,0.007590041080683144
ABL_LGBM_Gated_Heavy (>10mm)_NSE,0.8509493067422522,0.011609102014291942
ABL_LGBM_Gated_Overall_Samples,2491.0,0.0
ABL_LGBM_Gated_No Rain (0mm)_Samples,1495.0,0.0
ABL_LGBM_Gated_Mod (0-10mm)_Samples,639.0,0.0
ABL_LGBM_Gated_Heavy (>10mm)_Samples,357.0,0.0
ABL_LGBM_Direct_Overall_R2,0.9430917535613214,0.004387314950372939
ABL_LGBM_Direct_No Rain (0mm)_R2,,
ABL_LGBM_Direct_Mod (0-10mm)_R2,0.8979308569368106,0.01000370415859917
ABL_LGBM_Direct_Heavy (>10mm)_R2,0.8522243693753524,0.011673336699525902
ABL_LGBM_Direct_Overall_MAE,0.586089531091732,0.0478888707121823
ABL_LGBM_Direct_No Rain (0mm)_MAE,0.037554683585869233,0.0062284309248827165
ABL_LGBM_Direct_Mod (0-10mm)_MAE,0.3919259395508484,0.05869104443452484
ABL_LGBM_Direct_Heavy (>10mm)_MAE,3.230711749623635,0.22352921366293213
ABL_LGBM_Direct_Overall_MSE,10.107251639412166,0.7792138925341262
ABL_LGBM_Direct_No Rain (0mm)_MSE,0.02636387629960444,0.003441459949350515
ABL_LGBM_Direct_Mod (0-10mm)_MSE,0.8276486895358948,0.08111709757613661
ABL_LGBM_Direct_Heavy (>10mm)_MSE,68.9324434904604,5.445225433881343
ABL_LGBM_Direct_Overall_RMSE,3.177323945989443,0.1217794197218902
ABL_LGBM_Direct_No Rain (0mm)_RMSE,0.16210014779892112,0.010453371655377484
ABL_LGBM_Direct_Mod (0-10mm)_RMSE,0.9088931569107548,0.04418595445241582
ABL_LGBM_Direct_Heavy (>10mm)_RMSE,8.29743718066068,0.3259212394316763
ABL_LGBM_Direct_Overall_MAPE,15.472323215976067,2.078914859137661
ABL_LGBM_Direct_No Rain (0mm)_MAPE,,
ABL_LGBM_Direct_Mod (0-10mm)_MAPE,18.96519756112108,2.685416041797801
ABL_LGBM_Direct_Heavy (>10mm)_MAPE,9.220371657019019,1.0425366924773072
ABL_LGBM_Direct_Overall_Bias,-0.2985267576540943,0.07129459238264187
ABL_LGBM_Direct_No Rain (0mm)_Bias,0.037554683585869233,0.0062284309248827165
ABL_LGBM_Direct_Mod (0-10mm)_Bias,-0.23244384954254588,0.03883315451538468
ABL_LGBM_Direct_Heavy (>10mm)_Bias,-1.824209482967889,0.4629176784104727
ABL_LGBM_Direct_Overall_NSE,0.9430917521649148,0.004387315058028221
ABL_LGBM_Direct_No Rain (0mm)_NSE,,
ABL_LGBM_Direct_Mod (0-10mm)_NSE,0.8979308596937194,0.010003703888397065
ABL_LGBM_Direct_Heavy (>10mm)_NSE,0.8522243662906768,0.011673336943195693
ABL_LGBM_Direct_Overall_Samples,2491.0,0.0
ABL_LGBM_Direct_No Rain (0mm)_Samples,1495.0,0.0
ABL_LGBM_Direct_Mod (0-10mm)_Samples,639.0,0.0
ABL_LGBM_Direct_Heavy (>10mm)_Samples,357.0,0.0
MAIN_ENSEMBLE_Overall_R2,0.97320752943101,0.004673307672553392
MAIN_ENSEMBLE_No Rain (0mm)_R2,,
MAIN_ENSEMBLE_Mod (0-10mm)_R2,0.9472616081253291,0.009646176865284042
MAIN_ENSEMBLE_Heavy (>10mm)_R2,0.9306678376035782,0.012494001774168012
MAIN_ENSEMBLE_Overall_MAE,0.4618242383003235,0.029890894889831543
MAIN_ENSEMBLE_No Rain (0mm)_MAE,0.020164012908935547,0.0017763841897249222
MAIN_ENSEMBLE_Mod (0-10mm)_MAE,0.31991633772850037,0.04136011004447937
MAIN_ENSEMBLE_Heavy (>10mm)_MAE,2.565356492996216,0.1764833629131317
MAIN_ENSEMBLE_Overall_MSE,4.758505821228027,0.8300080299377441
MAIN_ENSEMBLE_No Rain (0mm)_MSE,0.022998390719294548,0.0033453539945185184
MAIN_ENSEMBLE_Mod (0-10mm)_MSE,0.4276401102542877,0.07821802794933319
MAIN_ENSEMBLE_Heavy (>10mm)_MSE,32.341163635253906,5.828037738800049
MAIN_ENSEMBLE_Overall_RMSE,2.1743972301483154,0.1952669620513916
MAIN_ENSEMBLE_No Rain (0mm)_RMSE,0.15132547914981842,0.01112399809062481
MAIN_ENSEMBLE_Mod (0-10mm)_RMSE,0.6518992185592651,0.05774543061852455
MAIN_ENSEMBLE_Heavy (>10mm)_RMSE,5.667423725128174,0.5261507034301758
MAIN_ENSEMBLE_Overall_MAPE,14.593072235584259,1.509389661384231
MAIN_ENSEMBLE_No Rain (0mm)_MAPE,,
MAIN_ENSEMBLE_Mod (0-10mm)_MAPE,18.66032302379608,2.1284751166767637
MAIN_ENSEMBLE_Heavy (>10mm)_MAPE,7.313036322593689,0.5351751413934812
MAIN_ENSEMBLE_Overall_Bias,-0.06253363937139511,0.10362014174461365
MAIN_ENSEMBLE_No Rain (0mm)_Bias,0.020164012908935547,0.0017763841897249222
MAIN_ENSEMBLE_Mod (0-10mm)_Bias,-0.05164170265197754,0.04854562506079674
MAIN_ENSEMBLE_Heavy (>10mm)_Bias,-0.42834019660949707,0.6829677820205688
MAIN_ENSEMBLE_Overall_NSE,0.9732075281441211,0.004673308147807544
MAIN_ENSEMBLE_No Rain (0mm)_NSE,,
MAIN_ENSEMBLE_Mod (0-10mm)_NSE,0.9472616091370583,0.009646179792919932
MAIN_ENSEMBLE_Heavy (>10mm)_NSE,0.9306678347289562,0.012494001126857026
MAIN_ENSEMBLE_Overall_Samples,2491.0,0.0
MAIN_ENSEMBLE_No Rain (0mm)_Samples,1495.0,0.0
MAIN_ENSEMBLE_Mod (0-10mm)_Samples,639.0,0.0
MAIN_ENSEMBLE_Heavy (>10mm)_Samples,357.0,0.0
